name;gender;age;video1;video2;video3;video4;beforeFeeling;beforeRanking;fearful;afterFeeling
P01;w;57;Nun;IT;World;Relax;4;3;2;4
P02;m;25;Nun;IT;World;Relax;4;2;2;4
P03;w;27;World;Relax;Nun;IT;5;2;3;4
P04;m;31;World;Relax;Nun;IT;4;3;3;5
P05;w;60;Nun;IT;World;Relax;5;2;2;5
P06;m;41;Nun;IT;World;Relax;5;1;3;4
P07;w;26;World;Relax;Nun;IT;5;1;3;4
P08;m;32;Nun;IT;World;Relax;3;3;3;3
P09;m;31;Nun;IT;World;Relax;4;4;4;4
P10;w;27;Nun;IT;World;Relax;4;4;1;1
P11;m;25;World;Relax;Nun;IT;4;1;3;5
P12;m;46;Nun;IT;World;Relax;5;4;3;4
P13;w;29;Nun;IT;World;Relax;4;3;3;5
P14;w;29;Nun;IT;World;Relax;4;3;3;4
P15;m;27;Nun;IT;World;Relax;5;3;3;5
P16;m;34;Nun;IT;World;Relax;4;2;3;3
P17;w;23;Nun;IT;World;Relax;4;3;2;3
P18;m;23;Nun;IT;World;Relax;5;1;2;4
P19;w;25;World;Relax;Nun;IT;4;2;2;4
P20;m;25;World;Relax;Nun;IT;5;4;3;3
P21;w;21;Nun;IT;World;Relax;4;3;5;4
